Universidade,Link_DGES,Nome,Estado da IES,Unidade Organica,Subsistema,Natureza,Tipo de ensino,Link_Website,Morada,Código Postal,Telefone,Email,Distrito
Escola Superior de Enfermagem de Coimbra,https://www.dges.gov.pt/simges/public/www/detalhes_ies/113,Escola Superior de Enfermagem de Coimbra,Ativa,Unidade Principal,Público,Escola politécnica não integrada,Politécnico,http://www.esenfc.pt,"Avenida Bissaya Barreto, Coimbra","3004-011, Coimbra
",+351239487200,esenfc@esenfc.pt,http://www.esenfc.pt
Escola Superior de Enfermagem de Lisboa,https://www.dges.gov.pt/simges/public/www/detalhes_ies/114,Escola Superior de Enfermagem de Lisboa,Ativa,Unidade Principal,Público,Escola politécnica não integrada,Politécnico,http://www.esel.pt,"Av. do Brasil, 53 B, Lisboa","1700-063, Lisboa
",+351217913400,geral@esel.pt,http://www.esel.pt
Escola Superior de Enfermagem do Porto,https://www.dges.gov.pt/simges/public/www/detalhes_ies/115,Escola Superior de Enfermagem do Porto,Ativa,Unidade Principal,Público,Escola politécnica não integrada,Politécnico,http://portal.esenf.pt,"Rua Dr. Bernardino de Almeida, Porto","4200-072, Porto
",+351225073500,esep@esenf.pt,http://portal.esenf.pt
Escola Superior de Hotelaria e Turismo do Estoril,https://www.dges.gov.pt/simges/public/www/detalhes_ies/117,Escola Superior de Hotelaria e Turismo do Estoril,Ativa,Unidade Principal,Público,Escola politécnica não integrada,Politécnico,http://www.eshte.pt,"Av. Condes de Barcelona, Estoril","2769-510, Cascais
",+351210040700,isabel.sousa@eshte.pt,http://www.eshte.pt
Escola Superior Náutica Infante D. Henrique,https://www.dges.gov.pt/simges/public/www/detalhes_ies/116,Escola Superior Náutica Infante D. Henrique,Ativa,Unidade Principal,Público,Escola politécnica não integrada,Politécnico,http://www.enautica.pt,"Av. Eng. Bonneville Franco, Paço de Arcos","2770-058, Oeiras
",+351214460010,info@enautica.pt,http://www.enautica.pt
Instituto Politécnico da Guarda,https://www.dges.gov.pt/simges/public/www/detalhes_ies/27,Instituto Politécnico da Guarda,Ativa,Unidade Principal,Público,Instituto Politécnico,Politécnico,http://www.ipg.pt,"Av. Dr. Francisco Sá Carneiro, n.º 50, Guarda","6300-559, Guarda
",+351271220100,ipg@ipg.pt,http://www.ipg.pt
"Escola Superior de Educação, Comunicação e Desporto - Instituto Politécnico da Guarda",https://www.dges.gov.pt/simges/public/www/detalhes_uo/302,Instituto Politécnico da Guarda,Ativa,"Escola Superior de Educação, Comunicação e Desporto - Instituto Politécnico da Guarda",Público,Sem Natureza,Politécnico,http://www.esecd.ipg.pt,"Av. Dr. Francisco Sá Carneiro, 50, Guarda","6300-559, Guarda
",+351271220135,esecd-geral@ipg.pt,http://www.esecd.ipg.pt
Escola Superior de Saúde da Guarda - Instituto Politécnico da Guarda,https://www.dges.gov.pt/simges/public/www/detalhes_uo/305,Instituto Politécnico da Guarda,Ativa,Escola Superior de Saúde da Guarda - Instituto Politécnico da Guarda,Público,Sem Natureza,Politécnico,http://www.ess.ipg.pt,"Av. Rainha D. Amélia, s/n, Guarda","6300-749, Guarda
",+351271205220,ess.geral@ipg.pt,http://www.ess.ipg.pt
Escola Superior de Tecnologia e Gestão - Instituto Politécnico da Guarda,https://www.dges.gov.pt/simges/public/www/detalhes_uo/303,Instituto Politécnico da Guarda,Ativa,Escola Superior de Tecnologia e Gestão - Instituto Politécnico da Guarda,Público,Sem Natureza,Politécnico,http://www.esth.ipg.pt,"Av. Dr. Francisco Sá Carneiro, 50, Guarda","6300-559, Guarda
",+351271220120,estg-geral@ipg.pt,http://www.esth.ipg.pt
Escola Superior de Turismo e Hotelaria - Instituto Politécnico da Guarda,https://www.dges.gov.pt/simges/public/www/detalhes_uo/304,Instituto Politécnico da Guarda,Ativa,Escola Superior de Turismo e Hotelaria - Instituto Politécnico da Guarda,Público,Sem Natureza,Politécnico,http://www.esth.ipg.pt,"R. Dr. José António Fernandes Camelo - Arrifana, Arrifana","6270-372, Seia
",+351238320800,esth@ipg.pt,http://www.esth.ipg.pt
